|              SumType |     Datasize |  Latency[ns] |       Cycles |     Checksum |
|    sum_indexcalc k=1 |         1024 |       105.36 |         1000 |       1024.0 |  
|    sum_indexload k=1 |         1024 |       106.04 |         1000 |       1024.0 |  
| sum_indexcalc k=gold |         1024 |       105.31 |         1000 |       1024.0 | 
| sum_indexload k=gold |         1024 |       106.22 |         1000 |       1024.0 | 
|    sum_indexcalc k=1 |         2048 |       106.07 |         1000 |       2048.0 |  
|    sum_indexload k=1 |         2048 |       105.71 |         1000 |       2048.0 |  
| sum_indexcalc k=gold |         2048 |       106.91 |         1000 |       2048.0 | 
| sum_indexload k=gold |         2048 |       106.08 |         1000 |       2048.0 | 
|    sum_indexcalc k=1 |         4096 |       106.45 |         1000 |       4096.0 |  
|    sum_indexload k=1 |         4096 |       105.67 |         1000 |       4096.0 |  
| sum_indexcalc k=gold |         4096 |       110.10 |         1000 |       4096.0 | 
| sum_indexload k=gold |         4096 |       106.02 |         1000 |       4096.0 | 
|    sum_indexcalc k=1 |         8192 |       106.05 |         1000 |       8192.0 |  
|    sum_indexload k=1 |         8192 |       105.63 |         1000 |       8192.0 |  
| sum_indexcalc k=gold |         8192 |       107.25 |         1000 |       8192.0 | 
| sum_indexload k=gold |         8192 |       106.22 |         1000 |       8192.0 | 
|    sum_indexcalc k=1 |        16384 |       106.09 |         1000 |      16384.0 |  
|    sum_indexload k=1 |        16384 |       105.69 |         1000 |      16384.0 |  
| sum_indexcalc k=gold |        16384 |       108.99 |         1000 |      16384.0 | 
| sum_indexload k=gold |        16384 |       106.47 |         1000 |      16384.0 | 
|    sum_indexcalc k=1 |        32768 |       106.56 |         1000 |      32768.0 |  
|    sum_indexload k=1 |        32768 |       107.09 |         1000 |      32768.0 |  
| sum_indexcalc k=gold |        32768 |       106.88 |         1000 |      32768.0 | 
| sum_indexload k=gold |        32768 |       106.11 |         1000 |      32768.0 | 
|    sum_indexcalc k=1 |        65536 |       105.94 |         1000 |      65536.0 |  
|    sum_indexload k=1 |        65536 |       105.82 |         1000 |      65536.0 |  
| sum_indexcalc k=gold |        65536 |       106.23 |         1000 |      65536.0 | 
| sum_indexload k=gold |        65536 |       106.05 |         1000 |      65536.0 | 
|    sum_indexcalc k=1 |       131072 |       106.08 |         1000 |     131072.0 |  
|    sum_indexload k=1 |       131072 |       105.67 |         1000 |     131072.0 |  
| sum_indexcalc k=gold |       131072 |       106.21 |         1000 |     131072.0 | 
| sum_indexload k=gold |       131072 |       106.44 |         1000 |     131072.0 | 
|    sum_indexcalc k=1 |       262144 |       105.95 |         1000 |     262144.0 |  
|    sum_indexload k=1 |       262144 |       105.89 |         1000 |     262144.0 |  
